split,model,configuration,stage2_usage,n_stage2,accuracy,auc,f1,precision,recall,specificity,tn,fp,fn,tp
10,XGBoost,Stage 1 + Stage 2,1.0,60,0.8,0.9,0.7931034482758621,0.8214285714285714,0.7666666666666667,0.8333333333333334,25,5,7,23
10,XGBoost,Cascade,0.2,12,0.8,0.8911111111111111,0.7931034482758621,0.8214285714285714,0.7666666666666667,0.8333333333333334,25,5,7,23
11,Logistic Regression,Stage 1 only,0.0,0,0.9166666666666666,0.9700000000000001,0.9090909090909091,1.0,0.8333333333333334,1.0,30,0,5,25
11,Logistic Regression,Stage 1 + Stage 2,1.0,60,0.95,0.9666666666666668,0.9491525423728814,0.9655172413793104,0.9333333333333333,0.9666666666666667,29,1,2,28
11,Logistic Regression,Cascade,0.16666666666666666,10,0.9333333333333333,0.9766666666666666,0.9310344827586207,0.9642857142857143,0.9,0.9666666666666667,29,1,3,27
11,Random Forest,Stage 1 only,0.0,0,0.9,0.9605555555555555,0.9032258064516129,0.875,0.9333333333333333,0.8666666666666667,26,4,2,28
11,Random Forest,Stage 1 + Stage 2,1.0,60,0.9333333333333333,0.985,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,28,2,2,28
11,Random Forest,Cascade,0.4,24,0.9333333333333333,0.985,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,28,2,2,28
11,XGBoost,Stage 1 only,0.0,0,0.85,0.9433333333333334,0.8571428571428571,0.8181818181818182,0.9,0.8,24,6,3,27
11,XGBoost,Stage 1 + Stage 2,1.0,60,0.8333333333333334,0.951111111111111,0.8275862068965517,0.8571428571428571,0.8,0.8666666666666667,26,4,6,24
11,XGBoost,Cascade,0.25,15,0.85,0.9366666666666668,0.847457627118644,0.8620689655172413,0.8333333333333334,0.8666666666666667,26,4,5,25
12,Logistic Regression,Stage 1 only,0.0,0,0.9166666666666666,0.9777777777777777,0.9180327868852459,0.9032258064516129,0.9333333333333333,0.9,27,3,2,28
12,Logistic Regression,Stage 1 + Stage 2,1.0,60,0.9333333333333333,0.9777777777777777,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,28,2,2,28
12,Logistic Regression,Cascade,0.13333333333333333,8,0.9166666666666666,0.98,0.9180327868852459,0.9032258064516129,0.9333333333333333,0.9,27,3,2,28
