scenario,model,configuration,threshold_low,threshold_high,n_splits,accuracy_mean,accuracy_std,auc_mean,auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,stage2_usage_mean,stage2_usage_std,n_stage2_mean,n_stage2_std
medium,XGBoost,Cascade,0.2,0.8,30,0.9383333333333332,0.021059121302616435,0.9855185185185185,0.01047400777823634,0.941254608483679,0.01947932219916086,0.9039935304522592,0.037795434589274264,0.9833333333333333,0.02589397776107772,0.8933333333333333,0.04582157633951003,0.17722222222222223,0.042768944701813354,10.633333333333333,2.566136682108801
medium,XGBoost,Cascade,0.3,0.7,30,0.9361111111111111,0.021479444568068946,0.9848148148148148,0.009411519500307523,0.9391269058781723,0.01981338098143081,0.9022021516328916,0.03951554711925397,0.9811111111111112,0.02861199455541916,0.8911111111111112,0.047893026818942544,0.11111111111111112,0.04066811127388299,6.666666666666667,2.4400866764329803
medium,XGBoost,Cascade,0.4,0.6,30,0.9355555555555556,0.02040459217589569,0.9834444444444445,0.010497825597394322,0.9384228748092549,0.01896466424265961,0.9028167655136345,0.0375074618152678,0.9788888888888889,0.030928583331961627,0.8922222222222221,0.04605787907379692,0.05333333333333334,0.027473428472446815,3.2,1.6484057083468089
medium,XGBoost,Stage 1 + Stage 2,,,30,0.9333333333333333,0.03000638501656693,0.9767407407407408,0.016562723983133038,0.936201361998981,0.028297872509936657,0.9032882104454685,0.04432384977604741,0.9733333333333333,0.03321819194149598,0.8933333333333333,0.052083045976218795,1.0,0.0,60.0,0.0
medium,XGBoost,Stage 1 only,,,30,0.9288888888888889,0.0214124490830534,0.9823703703703704,0.011094751685860786,0.9321647805133616,0.01953325490509151,0.8961019444687572,0.039454873087747325,0.9733333333333333,0.030825177548251464,0.8844444444444445,0.04931199704293781,0.0,0.0,0.0,0.0
strong,Logistic Regression,Cascade,0.2,0.8,30,0.8844444444444444,0.025117857568626365,0.953,0.019445593835760666,0.8861902147476438,0.02516758232993527,0.8744749400220757,0.038877431182398677,0.9011111111111112,0.04833102121567143,0.8677777777777779,0.0506534566364522,0.18444444444444444,0.04833102121567143,11.066666666666666,2.8998612729402855
strong,Logistic Regression,Cascade,0.3,0.7,30,0.8827777777777778,0.02784856879919457,0.9495555555555556,0.019343415700163742,0.8844323445221464,0.02829953412681883,0.8731981530088768,0.0400621625329479,0.898888888888889,0.050653456636452196,0.8666666666666667,0.05104276623258508,0.10888888888888888,0.03494202459809746,6.533333333333333,2.096521475885848
strong,Logistic Regression,Cascade,0.4,0.6,30,0.8783333333333334,0.02807693317022374,0.9504444444444445,0.019290523793206414,0.8801723956760706,0.027544890107357157,0.8700998507352381,0.04479304497919946,0.8933333333333333,0.04497764451088036,0.8633333333333334,0.05560534167675356,0.04833333333333333,0.024894413043216816,2.9,1.493664782593009
strong,Logistic Regression,Stage 1 + Stage 2,,,30,0.885,0.023712033577879127,0.9507777777777778,0.015555966059170262,0.8875132858415818,0.021690040529633834,0.8716671535794994,0.03939865662549815,0.9066666666666666,0.04143036441772435,0.8633333333333334,0.05420975297866301,1.0,0.0,60.0,0.0
strong,Logistic Regression,Stage 1 only,,,30,0.8688888888888889,0.030554684766414635,0.9489259259259258,0.018049841909599778,0.871041184612085,0.030383092353469587,0.8597890962196482,0.046397843959122886,0.8855555555555555,0.04769260875395,0.8522222222222222,0.05719050193985727,0.0,0.0,0.0,0.0
